ID,Code,LongDescription
107,"00562","Anesthesia for procedures on heart, pericardial sac, and great vessels of chest; with pump oxygenator, age 1 year or older, for all non-coronary bypass procedures (eg, valve procedures) or for re-operation for coronary bypass more than 1 month after original operation"
108,"00563","Anesthesia for procedures on heart, pericardial sac, and great vessels of chest; with pump oxygenator with hypothermic circulatory arrest"
109,"00700","Anesthesia for procedures on upper anterior abdominal wall; not otherwise specified"
110,"00566","Anesthesia for direct coronary artery bypass grafting; without pump oxygenator"
111,"00567","Anesthesia for direct coronary artery bypass grafting; with pump oxygenator"
112,"0071T","U/s leiomyomata ablate <200"
113,"0072T","U/s leiomyomata ablate >200"
114,"0056T","COMPUTER-ASSISTED MUSCULOSKELETAL SURGICAL NAVIGATIONAL ORTHOPEDIC PROCEDURE, IMAGE-LESS (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)"
115,"00580","Anesthesia for heart transplant or heart/lung transplant"
116,"00600","Anesthesia for procedures on cervical spine and cord; not otherwise specified"
117,"00604","Anesthesia for procedures on cervical spine and cord; procedures with patient in the sitting position"
118,"0060T","Electrical impedance scan of the breast, bilateral (risk assessment device for breast cancer)"
119,"0061T","Destruction/reduction of malignant breast tumor including breast carcinoma cells in the margins, microwave phased array thermotherapy, disposable catheter with combined temperature monitoring probe and microwave sensor, externally applied microwave energy, including interstitial placement of sensor"
120,"00620","Anesthesia for procedures on thoracic spine and cord; not otherwise specified"
121,"00622","Anesthesia for procedures on thoracic spine and cord; thoracolumbar sympathectomy"
122,"0075T","Perq stent/chest vert art"
123,"0076T","S&i stent/chest vert art"
124,"00625","Anesthesia for procedures on the thoracic spine and cord, via an anterior transthoracic approach; not utilizing 1 lung ventilation"
125,"00626","Anesthesia for procedures on the thoracic spine and cord, via an anterior transthoracic approach; utilizing 1 lung ventilation"
126,"0078T","Endovasc aort repr w/device"
127,"00630","Anesthesia for procedures in lumbar region; not otherwise specified"
128,"00632","Anesthesia for procedures in lumbar region; lumbar sympathectomy"
129,"00634","Anesthesia for procedures in lumbar region; chemonucleolysis"
130,"00635","Anesthesia for procedures in lumbar region; diagnostic or therapeutic lumbar puncture"
131,"00640","Anesthesia for manipulation of the spine or for closed procedures on the cervical, thoracic or lumbar spine"
132,"0079T","Endovasc visc extnsn repr"
133,"0064T","Spectroscopy, expired gas analysis (eg, nitric oxide/carbon dioxide test)"
134,"00802","Anesthesia for procedures on lower anterior abdominal wall; panniculectomy"
135,"0080T","Endovasc aort repr rad s&i"
136,"00810","Anesthesia for lower intestinal endoscopic procedures, endoscope introduced distal to duodenum"
137,"0081T","Endovasc visc extnsn s&i"
138,"00820","Anesthesia for procedures on lower posterior abdominal wall"
139,"0066T","Computed tomographic (CT) colonography (ie, virtual colonoscopy); screening"
140,"00830","Anesthesia for hernia repairs in lower abdomen; not otherwise specified"
141,"00832","Anesthesia for hernia repairs in lower abdomen; ventral and incisional hernias"
142,"00834","Anesthesia for hernia repairs in the lower abdomen not otherwise specified, younger than 1 year of age"
143,"00836","Anesthesia for hernia repairs in the lower abdomen not otherwise specified, infants younger than 37 weeks gestational age at birth and younger than 50 weeks gestational age at time of surgery"
144,"0067T","Computed tomographic (CT) colonography (ie, virtual colonoscopy); diagnostic"
145,"0068T","Acoustic heart sound recording and computer analysis; with interpretation and report"
146,"0069T","Acoustic heart sound recording and computer analysis; acoustic heart sound recording and computer analysis only"
147,"00702","Anesthesia for procedures on upper anterior abdominal wall; percutaneous liver biopsy"
148,"0070T","Acoustic heart sound recording and computer analysis; interpretation and report only"
149,"00730","Anesthesia for procedures on upper posterior abdominal wall"
150,"0073T","Compensator-based beam modulation treatment delivery of inverse planned treatment using 3 or more high resolution (milled or cast) compensator convergent beam modulated fields, per treatment session"
151,"00740","Anesthesia for upper gastrointestinal endoscopic procedures, endoscope introduced proximal to duodenum"
152,"0085T","Breath test heart reject"
153,"0074T","ONLINE EVALUATION AND MANAGEMENT SERVICE, PER ENCOUNTER, PROVIDED BY A PHYSICIAN, USING THE INTERNET OR SIMILAR ELECTRONIC COMMUNICATIONS NETWORK, IN RESPONSE TO A PATIENT?S REQUEST, ESTABLISHED PATIENT"
154,"00750","Anesthesia for hernia repairs in upper abdomen; not otherwise specified"
155,"00752","Anesthesia for hernia repairs in upper abdomen; lumbar and ventral (incisional) hernias and/or wound dehiscence"
156,"00754","Anesthesia for hernia repairs in upper abdomen; omphalocele"
157,"00756","Anesthesia for hernia repairs in upper abdomen; transabdominal repair of diaphragmatic hernia"
158,"00770","Anesthesia for all procedures on major abdominal blood vessels"
159,"0077T","Implanting and securing cerebral thermal perfusion probe, including twist drill or burr hole, to measure absolute cerebral tissue perfusion"
160,"00790","Anesthesia for intraperitoneal procedures in upper abdomen including laparoscopy; not otherwise specified"
161,"0062T","Percutaneous intradiscal annuloplasty, any method except electrothermal, unilateral or bilateral including fluoroscopic guidance; single level"
162,"00792","Anesthesia for intraperitoneal procedures in upper abdomen including laparoscopy; partial hepatectomy or management of liver hemorrhage (excluding liver biopsy)"
163,"00794","Anesthesia for intraperitoneal procedures in upper abdomen including laparoscopy; pancreatectomy, partial or total (eg, Whipple procedure)"
164,"00796","Anesthesia for intraperitoneal procedures in upper abdomen including laparoscopy; liver transplant (recipient)"
165,"00797","Anesthesia for intraperitoneal procedures in upper abdomen including laparoscopy; gastric restrictive procedure for morbid obesity"
166,"0063T","Percutaneous intradiscal annuloplasty, any method except electrothermal, unilateral or bilateral including fluoroscopic guidance; 1 or more additional levels (List separately in addition to 0062T for primary procedure)"
167,"00800","Anesthesia for procedures on lower anterior abdominal wall; not otherwise specified"
168,"0082T","Stereotactic body radiation therapy, treatment delivery, one or more treatment areas, per day"
169,"00904","Anesthesia for; radical perineal procedure"
170,"00906","Anesthesia for; vulvectomy"
171,"00908","Anesthesia for; perineal prostatectomy"
172,"0090T","Total disc arthroplasty (artificial disc), anterior approach, including discectomy to prepare interspace (other than for decompression) cervical; single interspace"
173,"00910","Anesthesia for transurethral procedures (including urethrocystoscopy); not otherwise specified"
174,"00912","Anesthesia for transurethral procedures (including urethrocystoscopy); transurethral resection of bladder tumor(s)"
175,"0083T","Stereotactic body radiation therapy, treatment management, per day"
176,"00840","Anesthesia for intraperitoneal procedures in lower abdomen including laparoscopy; not otherwise specified"
177,"00842","Anesthesia for intraperitoneal procedures in lower abdomen including laparoscopy; amniocentesis"
178,"00844","Anesthesia for intraperitoneal procedures in lower abdomen including laparoscopy; abdominoperineal resection"
179,"00846","Anesthesia for intraperitoneal procedures in lower abdomen including laparoscopy; radical hysterectomy"
180,"00848","Anesthesia for intraperitoneal procedures in lower abdomen including laparoscopy; pelvic exenteration"
181,"0084T","Insertion of a temporary prostatic urethral stent"
182,"00851","Anesthesia for intraperitoneal procedures in lower abdomen including laparoscopy; tubal ligation/transection"
183,"00860","Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; not otherwise specified"
184,"00862","Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; renal procedures, including upper one-third of ureter, or donor nephrectomy"
185,"0092T","Artific disc addl"
186,"00864","Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; total cystectomy"
187,"00865","Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; radical prostatectomy (suprapubic, retropubic)"
188,"00866","Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; adrenalectomy"
189,"00868","Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; renal transplant (recipient)"
190,"0086T","Left ventricular filling pressure indirect measurement by computerized calibration of the arterial waveform response to Valsalva maneuver"
191,"0093T","Removal of total disc arthroplasty, anterior approach cervical; single interspace"
192,"00870","Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; cystolithotomy"
193,"00872","Anesthesia for lithotripsy, extracorporeal shock wave; with water bath"
194,"00873","Anesthesia for lithotripsy, extracorporeal shock wave; without water bath"
195,"0087T","Sperm evaluation, Hyaluronan sperm binding test"
196,"00880","Anesthesia for procedures on major lower abdominal vessels; not otherwise specified"
197,"00882","Anesthesia for procedures on major lower abdominal vessels; inferior vena cava ligation"
198,"0088T","Submucosal radiofrequency tissue volume reduction of tongue base, one or more sites, per session (ie, for treatment of obstructive sleep apnea syndrome)"
199,"0095T","Artific diskectomy addl"
200,"0096T","Revision of total disc arthroplasty, anterior approach cervical; single interspace"
201,"0089T","Actigraphy testing, recording, analysis and interpretation (minimum of three-day recording)"
202,"0098T","Rev artific disc addl"
203,"0099T","Implant corneal ring"
204,"0100T","Prosth retina receive&gen"
205,"0101T","Extracorp shockwv tx hi enrg"
206,"0102T","Extracorp shockwv tx anesth"
207,"0103T","Holotranscobalamin"
208,"00902","Anesthesia for; anorectal procedure"
209,"00914","Anesthesia for transurethral procedures (including urethrocystoscopy); transurethral resection of prostate"
210,"0106T","Touch quant sensory test"
211,"0107T","Vibrate quant sensory test"
212,"0108T","Cool quant sensory test"
213,"00916","Anesthesia for transurethral procedures (including urethrocystoscopy); post-transurethral resection bleeding"
214,"00918","Anesthesia for transurethral procedures (including urethrocystoscopy); with fragmentation, manipulation and/or removal of ureteral calculus"
215,"01112","Anesthesia for bone marrow aspiration and/or biopsy, anterior or posterior iliac crest"
216,"0091T","Total disc arthroplasty (artificial disc), anterior approach, including diskectomy to prepare interspace (other than for decompression); single interspace, lumbar"
217,"00920","Anesthesia for procedures on male genitalia (including open urethral procedures); not otherwise specified"
218,"00921","Anesthesia for procedures on male genitalia (including open urethral procedures); vasectomy, unilateral or bilateral"
219,"00922","Anesthesia for procedures on male genitalia (including open urethral procedures); seminal vesicles"
220,"00924","Anesthesia for procedures on male genitalia (including open urethral procedures); undescended testis, unilateral or bilateral"
221,"00926","Anesthesia for procedures on male genitalia (including open urethral procedures); radical orchiectomy, inguinal"
222,"00928","Anesthesia for procedures on male genitalia (including open urethral procedures); radical orchiectomy, abdominal"
223,"00930","Anesthesia for procedures on male genitalia (including open urethral procedures); orchiopexy, unilateral or bilateral"
224,"00932","Anesthesia for procedures on male genitalia (including open urethral procedures); complete amputation of penis"
225,"00934","Anesthesia for procedures on male genitalia (including open urethral procedures); radical amputation of penis with bilateral inguinal lymphadenectomy"
226,"00936","Anesthesia for procedures on male genitalia (including open urethral procedures); radical amputation of penis with bilateral inguinal and iliac lymphadenectomy"
227,"00938","Anesthesia for procedures on male genitalia (including open urethral procedures); insertion of penile prosthesis (perineal approach)"
228,"00940","Anesthesia for vaginal procedures (including biopsy of labia, vagina, cervix or endometrium); not otherwise specified"
229,"00942","Anesthesia for vaginal procedures (including biopsy of labia, vagina, cervix or endometrium); colpotomy, vaginectomy, colporrhaphy, and open urethral procedures"
230,"00944","Anesthesia for vaginal procedures (including biopsy of labia, vagina, cervix or endometrium); vaginal hysterectomy"
231,"00948","Anesthesia for vaginal procedures (including biopsy of labia, vagina, cervix or endometrium); cervical cerclage"
232,"0094T","Removal of total disc arthroplasty, anterior approach; single interspace, lumbar"
233,"00950","Anesthesia for vaginal procedures (including biopsy of labia, vagina, cervix or endometrium); culdoscopy"
234,"00952","Anesthesia for vaginal procedures (including biopsy of labia, vagina, cervix or endometrium); hysteroscopy and/or hysterosalpingography"
235,"01215","Anesthesia for open procedures involving hip joint; revision of total hip arthroplasty"
236,"01220","Anesthesia for all closed procedures involving upper two-thirds of femur"
237,"01230","Anesthesia for open procedures involving upper two-thirds of femur; not otherwise specified"
238,"01232","Anesthesia for open procedures involving upper two-thirds of femur; amputation"
239,"01234","Anesthesia for open procedures involving upper two-thirds of femur; radical resection"
240,"0097T","Revision of total disc arthroplasty, anterior approach; single interspace, lumbar"
241,"01120","Anesthesia for procedures on bony pelvis"
242,"01250","Anesthesia for all procedures on nerves, muscles, tendons, fascia, and bursae of upper leg"
243,"01260","Anesthesia for all procedures involving veins of upper leg, including exploration"
244,"0126T","Chd risk imt study"
245,"01270","Anesthesia for procedures involving arteries of upper leg, including bypass graft; not otherwise specified"
246,"01272","Anesthesia for procedures involving arteries of upper leg, including bypass graft; femoral artery ligation"
247,"01274","Anesthesia for procedures involving arteries of upper leg, including bypass graft; femoral artery embolectomy"
248,"0130T",""
249,"01130","Anesthesia for body cast application or revision"
250,"01140","Anesthesia for interpelviabdominal (hindquarter) amputation"
251,"01150","Anesthesia for radical procedures for tumor of pelvis, except hindquarter amputation"
252,"01160","Anesthesia for closed procedures involving symphysis pubis or sacroiliac joint"
253,"01170","Anesthesia for open procedures involving symphysis pubis or sacroiliac joint"
254,"01173","Anesthesia for open repair of fracture disruption of pelvis or column fracture involving acetabulum"
255,"01180","Anesthesia for obturator neurectomy; extrapelvic"
256,"01190","Anesthesia for obturator neurectomy; intrapelvic"
257,"01200","Anesthesia for all closed procedures involving hip joint"
258,"01202","Anesthesia for arthroscopic procedures of hip joint"
259,"01210","Anesthesia for open procedures involving hip joint; not otherwise specified"
260,"01212","Anesthesia for open procedures involving hip joint; hip disarticulation"
261,"01214","Anesthesia for open procedures involving hip joint; total hip arthroplasty"
262,"0140T","Exhaled breath condensate ph"
263,"0141T","Perq islet transplant"
264,"0104T",""
265,"0142T","Open islet transplant"
266,"0105T",""
267,"0109T","Heat quant sensory test"
268,"0143T","Laparoscopic islet transplnt"
269,"0110T","Nos quant sensory test"
270,"0111T","Rbc membranes fatty acids"
271,"0123T","Scleral fistulization"
272,"0124T","Conjunctival drug placement"
273,"01440","Anesthesia for procedures on arteries of knee and popliteal area; not otherwise specified"
274,"01462","Anesthesia for all closed procedures on lower leg, ankle, and foot"
275,"01464","Anesthesia for arthroscopic procedures of ankle and/or foot"
276,"01442","Anesthesia for procedures on arteries of knee and popliteal area; popliteal thromboendarterectomy, with or without patch graft"
277,"01470","Anesthesia for procedures on nerves, muscles, tendons, and fascia of lower leg, ankle, and foot; not otherwise specified"
278,"01472","Anesthesia for procedures on nerves, muscles, tendons, and fascia of lower leg, ankle, and foot; repair of ruptured Achilles tendon, with or without graft"
279,"01474","Anesthesia for procedures on nerves, muscles, tendons, and fascia of lower leg, ankle, and foot; gastrocnemius recession (eg, Strayer procedure)"
280,"01444","Anesthesia for procedures on arteries of knee and popliteal area; popliteal excision and graft or repair for occlusion or aneurysm"
281,"01480","Anesthesia for open procedures on bones of lower leg, ankle, and foot; not otherwise specified"
282,"01482","Anesthesia for open procedures on bones of lower leg, ankle, and foot; radical resection (including below knee amputation)"
283,"01320","Anesthesia for all procedures on nerves, muscles, tendons, fascia, and bursae of knee and/or popliteal area"
284,"0133T","UPPER GASTROINTESTINAL ENDOSCOPY, INCLUDING ESOPHAGUS, STOMACH, AND EITHER THE DUODENUM AND/OR JEJUNUM AS APPROPRIATE, WITH INJECTION OF IMPLANT MATERIAL INTO AND ALONG THE MUSCLE OF THE LOWER ESOPHAGEAL SPHINCTER (EG, FOR TREATMENT OF GASTROESOPHAGEAL RE"
285,"01340","Anesthesia for all closed procedures on lower one-third of femur"
286,"0135T","ABLATION, RENAL TUMOR(S), UNILATERAL, PERCUTANEOUS, CRYOTHERAPY"
287,"0115T","MEDICATION THERAPY MANAGEMENT SERVICE(S) PROVIDED BY A PHARMACIST, INDIVIDUAL, FACE-TO-FACE WITH PATIENT, INITIAL 15 MINUTES, WITH ASSESSMENT, AND INTERVENTION IF PROVIDED; INITIAL ENCOUNTER"
288,"01360","Anesthesia for all open procedures on lower one-third of femur"
289,"0116T","MEDICATION THERAPY MANAGEMENT SERVICE(S) PROVIDED BY A PHARMACIST, INDIVIDUAL, FACE-TO-FACE WITH PATIENT, INITIAL 15 MINUTES, WITH ASSESSMENT, AND INTERVENTION IF PROVIDED; SUBSEQUENT ENCOUNTER"
290,"0137T","Biopsy, prostate, needle, saturation sampling for prostate mapping"
291,"01380","Anesthesia for all closed procedures on knee joint"
292,"0117T","MEDICATION THERAPY MANAGEMENT SERVICE(S) PROVIDED BY A PHARMACIST, INDIVIDUAL, FACE-TO-FACE WITH PATIENT, INITIAL 15 MINUTES, WITH ASSESSMENT, AND INTERVENTION IF PROVIDED; EACH ADDITIONAL 15 MINUTES (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY SERVIC"
293,"01382","Anesthesia for diagnostic arthroscopic procedures of knee joint"
294,"01390","Anesthesia for all closed procedures on upper ends of tibia, fibula, and/or patella"
295,"01392","Anesthesia for all open procedures on upper ends of tibia, fibula, and/or patella"
296,"0155T","Lap impl gast curve electrd"
297,"0156T","Lap remv gast curve electrd"
298,"0157T","Open impl gast curve electrd"
299,"0158T","Open remv gast curve electrd"
300,"0159T","Cad breast mri"
301,"01400","Anesthesia for open or surgical arthroscopic procedures on knee joint; not otherwise specified"
302,"0120T","Ablation, cryosurgical, of fibroadenoma, including ultrasound guidance, each fibroadenoma"
303,"01402","Anesthesia for open or surgical arthroscopic procedures on knee joint; total knee arthroplasty"
304,"01404","Anesthesia for open or surgical arthroscopic procedures on knee joint; disarticulation at knee"
305,"01420","Anesthesia for all cast applications, removal, or repair involving knee joint"
306,"01430","Anesthesia for procedures on veins of knee and popliteal area; not otherwise specified"
307,"01630","Anesthesia for open or surgical arthroscopic procedures on humeral head and neck, sternoclavicular joint, acromioclavicular joint, and shoulder joint; not otherwise specified"
308,"01432","Anesthesia for procedures on veins of knee and popliteal area; arteriovenous fistula"
309,"01634","Anesthesia for open or surgical arthroscopic procedures on humeral head and neck, sternoclavicular joint, acromioclavicular joint, and shoulder joint; shoulder disarticulation"
310,"01636","Anesthesia for open or surgical arthroscopic procedures on humeral head and neck, sternoclavicular joint, acromioclavicular joint, and shoulder joint; interthoracoscapular (forequarter) amputation"
311,"01638","Anesthesia for open or surgical arthroscopic procedures on humeral head and neck, sternoclavicular joint, acromioclavicular joint, and shoulder joint; total shoulder replacement"
312,"0163T","Lumb artif diskectomy addl"
313,"0164T","Remove lumb artif disc addl"
314,"01650","Anesthesia for procedures on arteries of shoulder and axilla; not otherwise specified"
315,"01652","Anesthesia for procedures on arteries of shoulder and axilla; axillary-brachial aneurysm"
316,"01654","Anesthesia for procedures on arteries of shoulder and axilla; bypass graft"
317,"01656","Anesthesia for procedures on arteries of shoulder and axilla; axillary-femoral bypass graft"
318,"0165T","Revise lumb artif disc addl"
319,"0166T","Tcath vsd close w/o bypass"
320,"01670","Anesthesia for all procedures on veins of shoulder and axilla"
321,"0167T","Tcath vsd close w/bypass"
322,"01680","Anesthesia for shoulder cast application, removal or repair; not otherwise specified"
323,"01682","Anesthesia for shoulder cast application, removal or repair; shoulder spica"
324,"0168T","Rhinophototx light app bilat"
325,"0169T","Place stereo cath brain"
326,"0146T","Computed tomography, heart, with contrast material(s), including noncontrast images, if performed, cardiac gating and 3D image postprocessing; computed tomographic angiography of coronary arteries (including native and anomalous coronary arteries, coronary bypass grafts), without quantitative evaluation of coronary calcium"
327,"01710","Anesthesia for procedures on nerves, muscles, tendons, fascia, and bursae of upper arm and elbow; not otherwise specified"
328,"0147T","Computed tomography, heart, with contrast material(s), including noncontrast images, if performed, cardiac gating and 3D image postprocessing; computed tomographic angiography of coronary arteries (including native and anomalous coronary arteries, coronary bypass grafts), with quantitative evaluation of coronary calcium"
329,"01484","Anesthesia for open procedures on bones of lower leg, ankle, and foot; osteotomy or osteoplasty of tibia and/or fibula"
330,"01486","Anesthesia for open procedures on bones of lower leg, ankle, and foot; total ankle replacement"
331,"0171T","Lumbar spine proces distract"
332,"0172T","Lumbar spine process addl"
